horizon_sessions,group,average_forward_return,average_forward_excess_return,median_period_return,win_rate,excess_win_rate,average_forward_drawdown,average_group_size,average_momentum_score,average_overheat_score,rebalance_count,observation_count,compound_return,annualized_return,annualized_volatility,return_volatility_ratio,portfolio_max_drawdown,annual_average_dispersion
5,A,0.0019765754135674402,0.0004199937298011183,-0.0005871616215979955,0.5,0.4794520547945205,-0.03185540351725289,52.486301369863014,80.40665661410986,56.66708390080762,146,7663,0.21306565125976662,0.06894982846578723,0.26045959616062825,0.2647237018031201,-0.2048551372976679,0.004269002607599971
5,B,0.0014797431114484652,-7.683857231785681e-05,-0.0023066493946784497,0.4520547945205479,0.4657534246575342,-0.02981217445340493,148.58219178082192,57.44988774167928,49.52446405459505,146,21693,0.12647324606629073,0.04196788060268841,0.2611426518762434,0.1607086406650154,-0.28328879378320637,0.005513946857776842
5,C,0.001309970058909863,-0.0002466116248564591,-0.00198360597147529,0.4794520547945205,0.4931506849315068,-0.028346557527485914,100.93150684931507,26.582004377943445,47.40319227286729,146,14736,0.08004017059326629,0.026936617400470153,0.284608305417436,0.09464452332465184,-0.3476612886997046,0.004811488186880589
20,A,0.009693501322291229,0.005062986815397147,-0.002516579491124058,0.4864864864864865,0.6486486486486487,-0.06910742712389606,51.945945945945944,80.58223110924368,57.05202560097063,37,1922,0.33320910744502386,0.10289184373734828,0.22527177916260363,0.4567453771609795,-0.17208908907178044,0.02473796757411867
20,B,0.002987497097826255,-0.001643017409067829,-0.008999298523300149,0.4594594594594595,0.4594594594594595,-0.0682262318070103,148.0810810810811,57.55403219579724,49.257499904319296,37,5479,0.04138090848490661,0.013903883783281445,0.2243027061976154,0.06198714237104136,-0.290905778931143,0.025618852163383207
20,C,0.003455450843330719,-0.0011750636635633645,-0.009668111238212493,0.43243243243243246,0.5135135135135135,-0.06765332277103872,101.5945945945946,26.589481463122333,47.708532047217226,37,3759,0.05143769339370796,0.017227703128669614,0.23518353656938396,0.07325216458587903,-0.3177751810459021,0.021970123155909734
120,A,0.010307117603612014,-0.008305610526471063,-0.0754025845535233,0.2857142857142857,0.14285714285714285,-0.16496192152306838,56.285714285714285,80.27221468960644,53.74054219301841,7,394,-0.013051806787231945,-0.003933562217927289,0.2590709601145918,-0.015183339021044283,-0.1557988482105842,0.14678333500892654
120,B,0.026335213615213578,0.007722485485130499,-0.07163915000425115,0.42857142857142855,0.5714285714285714,-0.15568382051368404,141.0,57.008805187802984,47.637170771254844,7,987,0.08836448833513333,0.025728231413167713,0.27649723800288356,0.09305059102579316,-0.1992802642421807,0.16161097243420633
120,C,0.011941250745551715,-0.00667147738453137,-0.04244528809411138,0.42857142857142855,0.42857142857142855,-0.1680107109152316,102.42857142857143,25.718634794976246,51.4043803686181,7,717,-0.03332381460890743,-0.010115997024946033,0.3064792755897884,-0.03300711607817142,-0.2241293239940324,0.16168042057402476
