horizon_sessions,factor,factor_label,factor_type,target,version,mean_rank_ic,rank_ic_ir,positive_ic_rate,top_bottom_spread,period_count
5,trend_5d,5日趋势,收益因子,收益,原始,-0.030869061440839177,-0.18500513647208588,0.45161290322580644,-0.0002192944206999073,341
5,trend_5d,5日趋势,收益因子,收益,中性化,-0.02901815717345774,-0.27000438120366566,0.39589442815249265,-0.0009248289682422897,341
5,trend_20d,20日趋势,收益因子,收益,原始,-0.028432215783777352,-0.15834425031211857,0.44281524926686217,0.00011542071792561975,341
5,trend_20d,20日趋势,收益因子,收益,中性化,-0.015886223054716823,-0.13615182017168131,0.45161290322580644,9.191780252767187e-05,341
5,trend_60_ex_20,60日剔除近20日趋势,收益因子,收益,原始,-0.013482161754550344,-0.081423892615725,0.49266862170087977,-0.0011782313205960795,341
5,trend_60_ex_20,60日剔除近20日趋势,收益因子,收益,中性化,0.00039483887099193434,0.0035899639872727647,0.5190615835777126,-0.00016539814246595242,341
5,trend_120_ex_20,120日剔除近20日趋势,收益因子,收益,原始,-0.002076960502817098,-0.011062174926372615,0.5190615835777126,7.146264325038352e-05,341
5,trend_120_ex_20,120日剔除近20日趋势,收益因子,收益,中性化,0.010848379757835673,0.09017195999503633,0.5542521994134897,0.000971159960991258,341
5,value_bp,账面市值比（BP）,收益因子,收益,原始,0.03297491173437371,0.16088023273542731,0.5689149560117303,0.0007424760866078261,341
5,value_bp,账面市值比（BP）,收益因子,收益,中性化,0.004478803571132306,0.04516321843284247,0.5043988269794721,-7.873024066790222e-05,341
5,value_ep,盈利收益率（EP）,收益因子,收益,原始,0.027186825401370615,0.16572351931352888,0.5513196480938416,0.0007789673006645349,341
5,value_ep,盈利收益率（EP）,收益因子,收益,中性化,0.007267479499501728,0.07630687560577272,0.49853372434017595,-0.0012591209163220634,341
5,liquidity_turnover_20d,20日平均换手率,收益因子,收益,原始,-0.05331941511598868,-0.30263413009157925,0.3782991202346041,-0.003178676176377533,341
