entry_date,rank_ic,top_decile_relative_return,bottom_decile_relative_return,top_bottom_spread,stock_count,market_regime,test_year,horizon_sessions,healthcare_benchmark,model
2023-01-06,-0.06874132245905722,-0.0069903313486484415,0.0046340531516762574,-0.0116243845003247,357,大盘独涨,2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2023-01-13,0.20995372533210468,0.008042965364267891,-0.0033167022383117175,0.011359667602579608,358,大盘独涨,2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2023-01-20,0.09642984946968909,0.005719473376080416,-0.0052612874083695915,0.010980760784450008,358,风险偏好,2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2023-02-03,0.05601240362871065,0.007015236619484904,0.005248517671991717,0.0017667189474931868,359,风险偏好,2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2023-02-10,0.34833003277390323,0.004355517319625672,-0.04128646088704027,0.04564197820666594,359,风险偏好,2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2023-02-17,0.26110911836272344,0.014375477462718353,-0.016053720564224872,0.030429198026943223,359,医疗独立行情,2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2023-02-24,0.23481075381108776,0.010337063213503818,-0.0057773101181564585,0.016114373331660277,359,医疗独立行情,2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2023-03-03,0.05047325792593947,-0.004811178756522701,-0.0065543937526053465,0.001743214996082645,360,医疗独立行情,2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2023-03-10,0.250921642229624,0.02127223781766923,-0.02214509960295215,0.043417337420621385,360,防御/修复,2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2023-03-17,0.16178376837127678,0.012282419528659142,-0.017985141659850663,0.030267561188509803,360,防御/修复,2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2023-03-24,0.005552004711981165,-0.015650723024184507,-0.023238906085127624,0.007588183060943117,360,防御/修复,2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2023-03-31,-0.15011816264659789,-0.013138850675362298,-0.005422686621402282,-0.0077161640539600155,360,防御/修复,2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2023-04-10,0.06487513230748052,-0.004641693739922965,-0.00671352773087705,0.0020718339909540856,360,风险偏好,2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
