ts_code,entry_date,market_regime,predicted_relative_return,return_model_score,horizon_sessions,healthcare_benchmark,model
002223.SZ,2026-07-20,医疗独立行情,-0.0004824088083126238,25.483870967741932,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002250.SZ,2026-07-20,医疗独立行情,-0.0009231779482751764,15.483870967741936,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002252.SZ,2026-07-20,医疗独立行情,-0.0010613020406345186,12.580645161290322,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002262.SZ,2026-07-20,医疗独立行情,-4.3270934757558254e-05,41.935483870967744,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002275.SZ,2026-07-20,医疗独立行情,0.0001597650949234677,52.903225806451616,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002287.SZ,2026-07-20,医疗独立行情,-0.00017577954176789694,35.16129032258065,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002294.SZ,2026-07-20,医疗独立行情,0.0002582129840332077,56.774193548387096,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002317.SZ,2026-07-20,医疗独立行情,0.00040798476237755997,64.19354838709678,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002332.SZ,2026-07-20,医疗独立行情,0.0006097938521324508,74.83870967741936,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002349.SZ,2026-07-20,医疗独立行情,0.0009419330601282235,85.48387096774194,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002382.SZ,2026-07-20,医疗独立行情,-0.00017490085495098628,35.483870967741936,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002390.SZ,2026-07-20,医疗独立行情,0.0007083918224139028,77.41935483870968,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002399.SZ,2026-07-20,医疗独立行情,-0.0002427225508596122,32.58064516129032,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002422.SZ,2026-07-20,医疗独立行情,0.0009410898461183023,85.16129032258064,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002424.SZ,2026-07-20,医疗独立行情,0.00018169030259488096,55.16129032258065,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002432.SZ,2026-07-20,医疗独立行情,-0.00377443428163273,0.6451612903225806,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002437.SZ,2026-07-20,医疗独立行情,0.00033010106643576115,60.64516129032258,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002550.SZ,2026-07-20,医疗独立行情,-1.5350098848712294e-05,43.54838709677419,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002603.SZ,2026-07-20,医疗独立行情,0.0002815792500745857,58.06451612903226,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002626.SZ,2026-07-20,医疗独立行情,0.0007473103589445084,79.35483870967742,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002653.SZ,2026-07-20,医疗独立行情,-0.0016380023032580866,6.129032258064516,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002675.SZ,2026-07-20,医疗独立行情,0.0017257352064029604,98.06451612903226,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002727.SZ,2026-07-20,医疗独立行情,-0.00015789318503212595,36.45161290322581,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002728.SZ,2026-07-20,医疗独立行情,9.037637894061945e-05,49.354838709677416,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002737.SZ,2026-07-20,医疗独立行情,9.705845854387865e-05,50.32258064516129,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002755.SZ,2026-07-20,医疗独立行情,0.0010272891201334236,87.74193548387098,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002773.SZ,2026-07-20,医疗独立行情,0.00085291334736948,82.9032258064516,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002793.SZ,2026-07-20,医疗独立行情,-0.0001626573070327038,36.12903225806451,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002821.SZ,2026-07-20,医疗独立行情,0.0006880486618584787,77.09677419354838,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002901.SZ,2026-07-20,医疗独立行情,-4.9222425204076705e-05,41.612903225806456,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002907.SZ,2026-07-20,医疗独立行情,0.0011027252872401632,90.32258064516128,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002940.SZ,2026-07-20,医疗独立行情,-0.00036342567542096483,29.03225806451613,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
002950.SZ,2026-07-20,医疗独立行情,-0.0004489352195739037,27.419354838709676,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300003.SZ,2026-07-20,医疗独立行情,-0.0005117772044941793,24.516129032258064,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300006.SZ,2026-07-20,医疗独立行情,-0.0005796224326730513,21.612903225806452,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300009.SZ,2026-07-20,医疗独立行情,0.0004841151537780293,68.06451612903226,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300015.SZ,2026-07-20,医疗独立行情,3.053161315180038e-05,45.483870967741936,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300026.SZ,2026-07-20,医疗独立行情,0.00046436366544210395,66.77419354838709,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300039.SZ,2026-07-20,医疗独立行情,-0.0026061783594714663,3.5483870967741935,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300049.SZ,2026-07-20,医疗独立行情,-0.00031023910474104827,30.32258064516129,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300109.SZ,2026-07-20,医疗独立行情,0.0009818381996934543,86.12903225806451,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300119.SZ,2026-07-20,医疗独立行情,0.0006219406664613775,75.16129032258064,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300122.SZ,2026-07-20,医疗独立行情,0.0007118695144302132,77.74193548387098,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300142.SZ,2026-07-20,医疗独立行情,0.0010611827497246857,89.03225806451613,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300143.SZ,2026-07-20,医疗独立行情,0.0005858542892778013,72.25806451612902,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300146.SZ,2026-07-20,医疗独立行情,0.0008319062317340657,81.93548387096774,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
