trade_date,market_close,healthcare_close,market_ret_20d,market_ret_60d,market_ma60_gap,market_state,market_normalized,healthcare_ret_20d,healthcare_ret_60d,healthcare_ma60_gap,healthcare_state,healthcare_normalized,market_regime
2025-01-20,3829.6764,1.9279492518208763,-0.024967945340430897,-0.03203516511513815,-0.024894702167462146,下跌,128.96551187655524,-0.07158230571588664,-0.06204426982783995,-0.05668395727202358,下跌,192.79492518208764,防御状态
2025-01-21,3832.6145,1.9170230775187664,-0.025665554140895552,-0.03318294490311413,-0.023601565122436607,下跌,129.06445328331338,-0.053102666448295976,-0.08444276009841278,-0.060675619162323446,下跌,191.70230775187665,防御状态
2025-01-22,3797.0166,1.9008337157128286,-0.04685898861261284,-0.03252071713929061,-0.03214599343731317,下跌,127.86568322659777,-0.06968530653016525,-0.06577352998489061,-0.0675892325046219,下跌,190.08337157128287,防御状态
2025-01-23,3803.7439,1.897285210045759,-0.04563525492123699,-0.022035205143597802,-0.0300780654135262,下跌,128.09222709021174,-0.0622225524152169,-0.057044251557355596,-0.06845575626696065,下跌,189.7285210045759,防御状态
2025-01-24,3832.8637,1.9041275027095539,-0.038775466239944434,-0.01495124850438434,-0.022411068880093254,下跌,129.07284516873733,-0.056732043165658275,-0.056409939707872225,-0.06422458782193885,下跌,190.4127502709554,防御状态
2025-01-27,3817.0802,1.9010480300086092,-0.04118292782821287,-0.018750570530441824,-0.02613476251530311,下跌,128.5413310291344,-0.06435147768584648,-0.049266271649503146,-0.06498353681643954,下跌,190.10480300086093,防御状态
2025-02-05,3795.0848,1.9191517845021495,-0.051004576106219446,-0.03794325330509807,-0.031129879197598687,下跌,127.80062927691075,-0.04829275626229368,-0.05790038295003852,-0.055165805141407676,下跌,191.91517845021494,防御状态
2025-02-06,3842.8314,1.941737296165716,-0.023400656924658647,-0.049879461920882884,-0.01809750103550478,下跌,129.4085104831049,-0.01516985520550973,-0.06870536771444913,-0.04292157803555641,下跌,194.1737296165716,防御状态
2025-02-07,3892.7028,1.9731079423778632,0.018926733024897446,-0.03269658141098475,-0.004796933110887136,修复,131.0879449724002,0.022307020834388513,-0.05350775386201301,-0.026567054534240908,修复,197.31079423778633,医疗修复
2025-02-10,3901.0618,2.0186544421369574,0.03334874281514799,-0.05900901735371189,-0.0016191930947641042,修复,131.3694368273716,0.0587732826221361,-0.05905778865575584,-0.003058081542476554,修复,201.86544421369575,医疗修复
2025-02-11,3883.1352,1.998145981772798,0.03029090416938085,-0.05382779485712508,-0.005269748634619376,修复,130.7657531466287,0.030679818275183734,-0.0687964958984687,-0.011985965625765482,修复,199.8145981772798,医疗修复
2025-02-12,3919.8617,2.00109545812126,0.03260083261648017,-0.05114083522692281,0.005044915048459275,上涨,132.0025291499313,0.043431448393670635,-0.08485927668895032,-0.009012134365783298,修复,200.109545812126,大盘独涨
2025-02-13,3905.1398,1.9897639280318555,0.03059327349385499,-0.04420326976023703,0.002043597535749564,上涨,131.50676471163686,0.043430684673573916,-0.0978372310689507,-0.012865653887197737,修复,198.97639280318555,大盘独涨
2025-02-14,3939.0085,2.041034098628003,0.042099567623530953,-0.0418112855899504,0.011477679468190338,上涨,132.64730343498525,0.07804545040756783,-0.06302613340397334,0.013720559906356566,上涨,204.10340986280028,风险偏好
2025-02-17,3947.3983,2.0566174070193948,0.05758039305013396,-0.022829083068747758,0.0140322729537663,上涨,132.9298324892787,0.11206702131685087,-0.026403405773613553,0.02193213945828032,上涨,205.66174070193946,风险偏好
2025-02-18,3912.7829,2.0100112860303425,0.05111329362718142,-0.014122018000868208,0.005381310193410371,上涨,131.76414841743085,0.08086351406393466,-0.027745942905437304,-0.0007517295294950932,修复,201.00112860303426,大盘独涨
2025-02-19,3940.1602,2.029487077718693,0.031309897463434044,-0.002587193750394623,0.012460163528674517,上涨,132.6860872810638,0.05784862110602185,0.0003011404038688603,0.008925273376207965,上涨,202.9487077718693,风险偏好
2025-02-20,3928.8959,2.0584758979546445,0.03500236826618153,-0.012068547412109276,0.009773254770801154,上涨,132.30675856926166,0.08457050379371611,-0.0047306336100843005,0.023419542359820467,上涨,205.84758979546444,风险偏好
2025-02-21,3978.444,2.0710643289721355,0.046853270285662774,-0.0018387149874351527,0.02253980961664248,上涨,133.97530583320562,0.09061020571691891,-0.023408176440347872,0.030101901742722426,上涨,207.10643289721355,风险偏好
2025-02-24,3969.7169,2.0594371652759715,0.04128012724143981,-0.004908382500088626,0.0203823582127467,上涨,133.68141809932348,0.077570746289787,-0.026643129678147526,0.0247976952830955,上涨,205.94371652759716,风险偏好
2025-02-25,3925.6505,2.0380185852909825,0.025060629143496493,0.015508605701287426,0.008796367076416622,上涨,132.19746874199475,0.05709140599325924,0.009304586488806388,0.01398158563020635,上涨,203.80185852909824,风险偏好
2025-02-26,3959.9413,2.067108041818912,0.03322191678813513,0.029066465139895747,0.017121016936365585,上涨,133.35222181059777,0.07829064034763888,0.014291067643793731,0.028206228866225258,上涨,206.7108041818912,风险偏好
2025-02-27,3968.1159,2.0810952448947586,0.04506150960730593,0.0333138143069005,0.018662805376523872,上涨,133.62750393975784,0.0948328765908546,0.021845173603142642,0.03478198393768883,上涨,208.10952448947586,风险偏好
2025-02-28,3890.0487,2.0295308318842187,0.022689435006389314,-0.004350091003565981,-0.0013053554342690177,修复,130.99856735159875,0.06970255243557721,-0.021328368622496208,0.009512663005299071,上涨,202.95308318842186,医疗独立行情
2025-03-03,3888.4738,2.0489341590409,0.014508760121055175,0.004111837921803918,-0.0017776926931559744,修复,130.94553211743266,0.07604882347704534,-0.008091351670586389,0.01930534402329398,上涨,204.89341590409,医疗独立行情
2025-03-04,3885.2208,2.0682727553313054,0.017851498116282727,-0.008007591923490875,-0.002478927496204819,修复,130.8359863578655,0.0879644925762022,-0.010665918178611289,0.02911618601869126,上涨,206.82727553313055,医疗独立行情
2025-03-05,3902.5706,2.0510701533354503,0.028322371083776554,-0.01141479246292465,0.002168833452518948,上涨,131.4202461240316,0.06873785069976734,-0.038216934088939114,0.021246872205700207,上涨,205.10701533354504,风险偏好
2025-03-06,3956.2369,2.087012504856524,0.02951092259733268,0.0010996507191289862,0.015931288248126174,上涨,133.2274750194079,0.07481712844352217,-0.017721019332882393,0.039467682421302275,上涨,208.70125048565237,风险偏好
2025-03-07,3944.0143,2.068853145544411,0.013181458394409207,0.0034238151704104602,0.012734288497364243,上涨,132.81587526506252,0.04852507108717119,-0.009444367772685869,0.030591893383042468,上涨,206.8853145544411,风险偏好
2025-03-10,3928.8018,2.0942076117276165,0.007110884528924943,0.0018394843660405336,0.008796916661190757,上涨,132.30358972328096,0.03742749031908499,-0.0020888262963614235,0.04326010018459736,上涨,209.42076117276164,风险偏好
2025-03-11,3941.4157,2.092123271517804,0.015008619838938309,-0.007984817048377724,0.012173201663810751,上涨,132.7283666235589,0.04703224419150165,-0.020029382584036082,0.042591905663746044,上涨,209.2123271517804,风险偏好
2025-03-12,3927.2315,2.0813207882754075,0.0018801173520994752,-0.009917710280124115,0.008700475669957353,上涨,132.2507093955071,0.04009070623220912,-0.023884405565904432,0.037647492096618995,上涨,208.13207882754074,风险偏好
2025-03-13,3911.5793,2.0701771457676506,0.001648980658771837,-0.02103734701218729,0.005041891340745286,上涨,131.723616823144,0.040413446340508585,-0.0321013467293344,0.03268095327397025,上涨,207.01771457676506,风险偏好
2025-03-14,4006.5567,2.1075304361750966,0.017148528620844594,0.004443883656333636,0.029367264155315098,上涨,134.92200951441797,0.032579728869690516,-0.020720564343111758,0.05170407137409172,上涨,210.75304361750966,风险偏好
2025-03-17,3996.7876,2.111948512427638,0.012511861293551307,-0.007873194044599408,0.026996860303498016,上涨,134.59303211515956,0.026903937124811872,-0.0279874578373136,0.05444208191267186,上涨,211.1948512427638,风险偏好
2025-03-18,4007.7229,2.1243192998821194,0.02426406024213601,0.018952116312578315,0.02947810274694196,上涨,134.96128165238514,0.05686933931477012,-0.0007452762931884349,0.06063248433162194,上涨,212.43192998821195,风险偏好
2025-03-19,4010.168,2.1243842811668237,0.017767754722257223,0.02513557808680189,0.029672735796656635,上涨,135.04362113492977,0.04675920555986135,0.006309622385178404,0.060547376596668645,上涨,212.43842811668236,风险偏好
