year,horizon_sessions,group,average_forward_return,win_rate,average_group_size,rebalance_count
2023,5,A,-0.005135678708830075,0.5416666666666666,26.666666666666668,24
2023,5,B,-0.00023984775878575752,0.5416666666666666,155.25,24
2023,5,C,-0.0006225437132299791,0.5416666666666666,117.04166666666667,24
2024,5,A,0.0007711025911265325,0.4791666666666667,32.083333333333336,48
2024,5,B,0.00012848750461175838,0.3958333333333333,149.0625,48
2024,5,C,-0.0003465610407287076,0.3958333333333333,117.54166666666667,48
2025,5,A,0.0074083508168442235,0.6122448979591837,25.979591836734695,49
2025,5,B,0.007755266529228723,0.6326530612244898,160.3469387755102,49
2025,5,C,0.007693475209245516,0.6938775510204082,116.75510204081633,49
2026,5,A,-0.002453520062023645,0.4,25.96,25
2026,5,B,-0.00549593549913154,0.36,159.92,25
2026,5,C,-0.0020205872308140293,0.44,122.88,25
2023,20,A,-0.027600917250866212,0.42857142857142855,25.571428571428573,7
2023,20,B,-0.016450406974279765,0.42857142857142855,156.0,7
2023,20,C,-0.015338758180925017,0.5714285714285714,117.0,7
2024,20,A,0.009104516597370696,0.4166666666666667,31.75,12
2024,20,B,0.00690390832024965,0.4166666666666667,148.58333333333334,12
2024,20,C,0.005449478105619889,0.25,118.25,12
2025,20,A,0.03664190893007959,0.75,25.75,12
2025,20,B,0.03301733254621917,0.6666666666666666,161.58333333333334,12
2025,20,C,0.030011261805120804,0.6666666666666666,115.58333333333333,12
2026,20,A,-0.03084690171167215,0.3333333333333333,25.333333333333332,6
2026,20,B,-0.02118728385661486,0.3333333333333333,160.66666666666666,6
2026,20,C,-0.0033280394988347423,0.3333333333333333,122.83333333333333,6
2023,120,A,-0.059188813245516475,0.0,22.0,2
2023,120,B,-0.09205126235614267,0.0,159.5,2
2023,120,C,-0.11684714399306229,0.0,113.5,2
2024,120,A,0.002503094036700959,0.5,34.0,2
2024,120,B,0.05841586537981188,0.5,134.5,2
2024,120,C,0.009830114272829538,0.5,129.5,2
2025,120,A,0.266715153136335,1.0,29.0,2
2025,120,B,0.2062207236453207,1.0,156.5,2
2025,120,C,0.19750434760839514,1.0,115.5,2
2026,120,A,-0.19506404253359594,0.0,28.0,1
2026,120,B,-0.1185929692407481,0.0,159.0,1
2026,120,C,-0.09714332836605613,0.0,121.0,1
