ts_code,price_date,latest_close_qfq,trading_days,ret_5d,ret_20d,ret_60d,ret_120d,ret_250d,ma20_gap,ma60_gap,drawdown_60d,drawdown_250d,above_ma20,above_ma60,volatility_20d,market_beta_60d,healthcare_beta_60d,market_beta_percentile,healthcare_beta_percentile,market_beta_bucket,healthcare_beta_bucket,name,healthcare_subindustry,classification_confidence,market,valuation_as_of_date,latest_turnover_rate,latest_pe_ttm,latest_pb,total_mv,market_cap_100m,price_stale_days,pe_valid,pb_valid,pe_percentile_sub,pb_percentile_sub,valuation_score,valuation_status,valuation_coverage,ret_5d_market_pct,ret_5d_sub_pct,ret_20d_market_pct,ret_20d_sub_pct,ret_60d_market_pct,ret_60d_sub_pct,ret_120d_market_pct,ret_120d_sub_pct,momentum_score,overheat_score,volatility_percentile,stale_risk,risk_score,data_completeness_score,research_score,temperature,group,signal_label,subindustry_rank,subindustry_count,market_rank
688293.SH,2026-07-24,52.86999999999999,931,0.02026244693168655,0.4107369277172035,0.06633698712211822,-0.0673530232036399,-0.033237106663761784,0.09035882165577913,0.179957073420707,-0.1105316285329746,-0.19730625164647575,True,True,0.9142602504698437,0.903330148138841,1.6813944520998776,0.8870967741935484,0.9354838709677419,高Beta,高Beta,奥浦迈,CXO/CDMO,high,科创板,2026-07-24,4.728,113.4602,2.8374,751780.7354,75.17807354,0,True,True,0.96,0.5,22.400000000000002,PE+PB有效,1.0,0.8802588996763754,0.7666666666666667,0.9805825242718447,0.9666666666666667,0.9093851132686084,0.7333333333333333,0.7727272727272727,0.6666666666666666,89.34347628741662,94.15857605177995,0.8419354838709677,0.0,82.74971291366532,100.0,61.79362883540018,过热,B,强趋势高过热,3,30,11
300765.SZ,2026-07-24,36.9,1761,-0.03529411764705881,0.4527559055118111,0.17628307299968116,-0.025613942434644765,-0.28112215078901226,0.01070968802213157,0.21157729414404303,-0.12142857142857133,-0.367283950617284,True,True,1.0467988966263702,0.6792523705130593,1.5256205699792067,0.7645161290322581,0.8870967741935484,高Beta,高Beta,石药创新,原料药,high,创业板,2026-07-24,1.1139,,20.1121,5182947.801,518.2947801,0,False,True,,1.0,0.0,仅PB有效,0.4,0.44983818770226536,0.7777777777777778,0.9838187702265372,1.0,0.9514563106796117,1.0,0.8181818181818182,0.7777777777777778,89.26642020046329,87.60517799352752,0.9258064516129032,0.0,79.83975362772733,73.00000000000001,56.58388907611887,偏热,A,强趋势低过热,1,18,12
600535.SH,2026-07-24,15.760000000000002,1831,0.024707412223667236,0.190332326283988,0.05973554166027206,0.04922924085068581,0.014110821530677997,0.07134359811019353,0.09212622232033651,-0.018679950186799354,-0.07617474845051375,True,True,0.39171656491110396,0.03186472626013726,0.6908991308624132,0.13548387096774195,0.20967741935483872,低Beta,低Beta,天士力,中药,high,主板,2026-07-24,1.3843,20.2815,1.844,2354465.2,235.44652000000002,0,True,True,0.4838709677419355,0.40540540540540543,54.75152571926765,PE+PB有效,1.0,0.8932038834951457,1.0,0.8996763754045307,0.8918918918918919,0.8932038834951457,0.8918918918918919,0.8636363636363636,0.8918918918918919,88.94666848510117,94.07766990291262,0.17419354838709677,0.0,69.33823989978076,100.0,71.6551465359105,过热,B,强趋势高过热,1,37,13
301080.SZ,2026-07-24,52.22,1158,0.0800413650465357,0.1944190301921318,0.1483866946568806,-0.1525559060987789,0.039712953763606285,0.036769377382464885,0.17997564617682849,-0.030809205642167825,-0.23479525363958953,True,True,0.696058666361464,0.7272870316413896,1.1755908410803722,0.7935483870967742,0.7032258064516129,高Beta,高Beta,百普赛斯,生物制品/创新药,medium,创业板,2026-07-24,3.9698,51.1323,3.2407,875620.0409,87.56200409,0,True,True,0.625,0.2857142857142857,51.07142857142857,PE+PB有效,1.0,0.9644012944983819,0.9642857142857143,0.9093851132686084,0.75,0.9352750809061489,0.9285714285714286,0.5974025974025974,0.5714285714285714,88.68929196066185,93.26860841423948,0.6387096774193548,0.0,78.06221943835473,100.0,69.27209940350104,过热,B,强趋势高过热,3,28,14
688046.SH,2026-07-24,26.2,1031,0.1293103448275863,0.14912280701754388,0.35836452375961914,0.44035389958197757,0.7399729599289155,0.05447447326585242,0.2258613335942814,-0.096551724137931,-0.096551724137931,True,True,1.1992249393257983,1.0790655108489144,1.474076858828799,0.9258064516129032,0.864516129032258,高Beta,高Beta,药康生物,CXO/CDMO,high,科创板,2026-07-24,1.8861,67.2382,4.7137,1074200.0,107.42,0,True,True,0.72,0.8333333333333334,23.466666666666665,PE+PB有效,1.0,0.9902912621359223,0.9333333333333333,0.8349514563106796,0.7666666666666667,0.9870550161812298,1.0,0.9675324675324676,0.9333333333333333,87.70846690511004,89.6925566343042,0.9709677419354839,0.0,82.20414448272261,100.0,61.1611251373243,偏热,A,强趋势低过热,4,30,15
300832.SZ,2026-07-24,48.32,1506,0.06997342781222327,0.13989148384052852,0.06322324992103301,-0.12301012188042182,-0.09531907444207777,0.09386849581762813,0.07125752359989157,-0.030939043766988195,-0.293709491146786,True,True,0.49812193042198455,-0.3012718965134573,0.2699533774842109,0.00967741935483871,0.01935483870967742,低Beta,低Beta,新产业,IVD/体外诊断,high,创业板,2026-07-24,0.9765,23.3675,4.002,3796593.1691,379.65931691000003,0,True,True,0.3,0.8666666666666667,47.333333333333336,PE+PB有效,1.0,0.9579288025889967,0.9333333333333333,0.8025889967637541,0.9333333333333333,0.9029126213592233,0.9333333333333333,0.6688311688311688,0.8666666666666667,87.31718047726014,91.56957928802589,0.38064516129032255,0.0,71.71160872742458,100.0,68.46690031057572,过热,B,强趋势高过热,1,15,16
688710.SH,2026-07-24,76.9,456,0.1758409785932722,0.18874632864430363,0.08462623413258119,0.15900527505651874,1.0020209140201395,0.06996514612885507,0.1914229938957004,-0.08474172815996184,-0.08474172815996184,True,True,1.1212508071611536,0.6692439098137966,1.0364659598300743,0.7580645161290323,0.567741935483871,高Beta,中Beta,益诺思,CXO/CDMO,high,科创板,2026-07-24,3.4374,,4.638,1084133.893,108.41338929999999,0,False,True,,0.7666666666666667,19.833333333333332,仅PB有效,0.4,1.0,1.0,0.8964401294498382,0.8333333333333334,0.9223300970873787,0.7666666666666667,0.9188311688311688,0.7666666666666667,87.28133200003239,92.62135922330096,0.9548387096774194,0.0,83.93172564985905,73.00000000000001,59.73737368587391,过热,B,强趋势高过热,5,30,17
688235.SH,2026-07-24,271.0,1116,0.08179314199033971,0.16760017233950886,0.15319148936170213,-0.05673512008353643,0.19943347791449062,0.022618355810811952,0.10731412990034173,-0.022683832810415194,-0.16891560353287538,True,True,0.6622482648639331,1.169982780120506,1.2146864482089903,0.9451612903225807,0.7451612903225806,高Beta,高Beta,百济神州,生物制品/创新药,medium,科创板,2026-07-24,4.8544,123.4689,11.823,39053148.76,3905.314876,0,True,True,0.9375,0.7142857142857143,15.178571428571427,PE+PB有效,1.0,0.9676375404530745,1.0,0.86084142394822,0.6785714285714286,0.9385113268608414,0.9642857142857143,0.788961038961039,0.8214285714285714,86.7289065907317,89.14239482200647,0.6064516129032258,0.0,74.52870863346904,100.0,59.65268051656152,偏热,A,强趋势低过热,4,28,18
688202.SH,2026-07-24,82.45,1630,0.134268812766543,0.16834348873458982,0.17517103762827824,0.3093536604732412,0.5855769230769232,0.02870261199383628,0.22480205594426406,-0.056096164854035346,-0.056096164854035346,True,True,0.9193076415236975,1.1922523662431317,1.055867202434023,0.9483870967741935,0.5967741935483871,高Beta,中Beta,美迪西,CXO/CDMO,high,科创板,2026-07-24,6.0303,,5.6565,1107733.889,110.7733889,0,False,True,,0.9,8.499999999999998,仅PB有效,0.4,0.9935275080906149,0.9666666666666667,0.8640776699029126,0.8,0.948220064724919,0.8,0.9577922077922078,0.9,86.61370633169764,90.24271844660193,0.8483870967741935,0.0,80.13764484810523,73.00000000000001,57.0725770718028,过热,B,强趋势高过热,6,30,19
000739.SZ,2026-07-24,19.68,1833,0.0015267175572519776,0.233082706766917,0.060328810238950537,0.08991128798631709,0.3865843014729411,0.04502973661852172,0.12355484058696042,-0.06285714285714283,-0.06285714285714283,True,True,0.5475309873260422,0.4730940627890322,1.1818257626194513,0.6129032258064516,0.7161290322580646,中Beta,高Beta,普洛药业,CXO/CDMO,high,主板,2026-07-24,1.3723,25.5828,3.4748,2279817.0048,227.98170048000003,0,True,True,0.12,0.5666666666666667,70.13333333333334,PE+PB有效,1.0,0.8025889967637541,0.6666666666666666,0.9385113268608414,0.9,0.8964401294498382,0.6666666666666666,0.8863636363636364,0.7,85.55669458747673,93.00970873786406,0.47096774193548385,0.0,74.52615095521452,100.0,72.68842744253719,过热,B,强趋势高过热,7,30,20
688506.SH,2026-07-24,311.0,858,-0.006389776357827448,0.1843558399025098,0.09306902853929433,0.06605422822472828,0.09553332393969294,-0.024931651157540813,0.16122769023971317,-0.08984489318115307,-0.24146341463414633,False,True,0.8705276719185614,0.6248827253365521,1.6081334336896704,0.7161290322580646,0.9129032258064517,高Beta,高Beta,百利天恒,生物制品/生物科技,medium,科创板,2026-07-24,0.5475,,22.7516,12840375.18,1284.0375179999999,0,False,True,,1.0,0.0,仅PB有效,0.4,0.7637540453074434,0.7,0.8932038834951457,0.9,0.9255663430420712,0.85,0.8733766233766234,0.85,85.0906607974432,76.10032362459546,0.7935483870967742,0.0,69.1411942791523,73.00000000000001,55.68321733659308,偏热,B,强趋势低过热,3,20,21
600267.SH,2026-07-24,11.56,1823,0.021201413427561766,0.16414904330312186,0.012224678239799225,0.12201879176913977,-0.035779435691442485,0.031222123104371002,0.08872518338146507,-0.07371794871794868,-0.07371794871794868,True,True,0.6063549987252859,0.44636598879436373,1.030122239052277,0.5903225806451613,0.5580645161290323,中Beta,中Beta,海正药业,化学制药/创新药,medium,主板,2026-07-24,4.072,19.4311,1.5248,1364394.5476,136.43945476,0,True,True,0.5416666666666666,0.28125,56.25,PE+PB有效,1.0,0.883495145631068,0.9375,0.8511326860841424,0.875,0.8673139158576052,0.90625,0.9058441558441559,0.90625,84.9804536160873,88.52750809061489,0.5645161290322581,0.0,73.25957824407558,100.0,69.06183543304105,偏热,A,强趋势低过热,2,32,22
