horizon_sessions,spread,mean_return_spread,median_return_spread,positive_spread_rate,bootstrap_ci_low,bootstrap_ci_high,paired_period_count
5,A-B,0.0006716706756559914,-0.0007008887505271129,0.4863013698630137,-0.0018306088937591438,0.0031704846452371466,146
5,A-C,0.0008243346979039936,-0.0009331743499539583,0.4863013698630137,-0.0026580838561119356,0.004238149992168977,146
5,B-C,0.00015266402224800246,0.00034718661762226234,0.5068493150684932,-0.0017608292968226743,0.0021144685867077223,146
20,A-B,0.006964084401355546,0.005389555138334105,0.6216216216216216,-0.0005396013056337747,0.014519863917815921,37
20,A-C,0.006396083525639235,0.006381652416866418,0.6486486486486487,-0.003580402464168672,0.015993294568870296,37
20,B-C,-0.0005680008757163127,-0.00027250463864866153,0.43243243243243246,-0.007351918803282111,0.006683461588612427,37
120,A-B,-0.01493031822785156,0.001664487794843461,0.5714285714285714,-0.04626490826038665,0.01391568233660584,7
120,A-C,-0.001792347506787657,-0.027813200565359103,0.42857142857142855,-0.03999404512143329,0.04443313576736823,7
120,B-C,0.013137970721063902,0.04176009308023216,0.5714285714285714,-0.030655741628659545,0.05443734953906617,7
