horizon_sessions,candidate_model,baseline_model,paired_period_count,mean_delta_rank_ic,delta_rank_ic_ci_low,delta_rank_ic_ci_high,delta_rank_ic_positive_rate,mean_delta_top_bottom_spread,delta_spread_ci_low,delta_spread_ci_high,delta_spread_positive_rate
5,2. 指数状态+双Beta,1. 趋势基线,170,-0.026937348772200456,-0.06431451091295796,0.00783021695048025,0.49411764705882355,-0.003363006196500976,-0.010575490730340333,0.0033316287172376834,0.5
5,3. 状态+双Beta+交互项,1. 趋势基线,170,-0.021435471664623777,-0.060908398318286684,0.017597820774948373,0.4764705882352941,-0.002744550491687044,-0.010984406037589876,0.005070410888120451,0.4823529411764706
5,4. 交互项+残差动量+Beta变化,1. 趋势基线,170,0.002042282293444517,-0.042387761088096276,0.04262828586208489,0.5529411764705883,-0.002458441717451464,-0.01148908741015407,0.005654280406110371,0.5411764705882353
20,2. 指数状态+双Beta,1. 趋势基线,42,0.008709519840765885,-0.06542834062613329,0.0816865604665759,0.5476190476190477,0.0017931964118455862,-0.025813590439278365,0.027158894421073953,0.5714285714285714
20,3. 状态+双Beta+交互项,1. 趋势基线,42,0.006372024915789075,-0.07357148307166612,0.08226491412880438,0.5,-0.001671970418765867,-0.03210444924897265,0.026376574742575466,0.5714285714285714
20,4. 交互项+残差动量+Beta变化,1. 趋势基线,42,0.025912036007848336,-0.061883714921618344,0.10420768501995405,0.5952380952380952,-0.0011126923247593424,-0.04037499008043138,0.029898236728707915,0.6190476190476191
