entry_date,test_year,rank_ic
2023-01-13,2023,0.45390334012674927
2023-02-17,2023,0.367940107801956
2023-03-17,2023,0.38389789358172793
2023-04-17,2023,0.16597998302942316
2023-05-18,2023,0.13841281968824623
2023-06-15,2023,0.37592693301701124
2023-07-17,2023,0.554190165450482
2023-08-14,2023,0.34724669007648007
2023-09-11,2023,0.23966095633653223
2023-10-17,2023,0.2764201441224538
2023-11-14,2023,0.28291341641559775
2023-12-12,2023,0.3748709261953166
2024-01-10,2024,0.12896882185087633
2024-02-07,2024,0.09224593795545008
2024-03-14,2024,0.4524289042447694
2024-04-15,2024,0.29254902823432155
2024-05-16,2024,0.14357646979712815
2024-06-14,2024,0.4169368145522318
2024-07-12,2024,0.27236988699364206
2024-08-09,2024,0.28046544195253476
2024-09-06,2024,0.18579160659657534
2024-10-15,2024,0.1751562190676742
2024-11-12,2024,0.6231253638965737
2024-12-10,2024,0.4938625728243238
2025-01-08,2025,0.40571869761829793
2025-02-13,2025,0.21684141650134267
2025-03-13,2025,0.3281832007372821
2025-04-11,2025,0.3915344913862161
2025-05-14,2025,0.25233204055637865
2025-06-12,2025,0.5336081757951597
2025-07-10,2025,0.33495064205824476
2025-08-07,2025,0.1627827971413064
2025-09-04,2025,0.3531193322891769
2025-10-10,2025,0.37752677377592686
2025-11-07,2025,0.2617724373904081
2025-12-05,2025,0.32736708062682657
2026-01-06,2026,0.37260833002119026
2026-02-03,2026,0.3008770808920216
2026-03-11,2026,0.3584507246021297
2026-04-09,2026,0.2503661316111821
2026-05-12,2026,0.3343418373214276
2026-06-09,2026,0.2277459286100158
