horizon_sessions,selected_model,base_mean_rank_ic,enhanced_mean_rank_ic,rank_ic_change,base_top_bottom_spread,enhanced_top_bottom_spread,spread_change,improved_year_rate,sample_passed,promotion_passed
5,基础回撤模型,0.1775495510508463,0.17553225129039857,-0.0020172997604477327,0.021410710304353524,0.021027046203303174,-0.00038366410105035095,0.0,True,False
20,基础回撤模型,0.2540381072468847,0.25197845240204897,-0.0020596548448357233,0.04960023977636982,0.05122648484401727,0.0016262450676474485,0.25,True,False
60,基础回撤模型,0.2771378683882634,0.27349605896833057,-0.0036418094199328066,0.08246016372561707,0.08443282125750842,0.001972657531891353,0.5,False,False
120,基础回撤模型,0.3209952811129128,0.3215163815581668,0.0005211004452539969,0.10228329685383869,0.10837743661710743,0.006094139763268738,0.6666666666666666,False,False
